onset	duration	nwb_table	ProAnti3Marino_hit_history	ProAnti3Marino_psych_history	ProAnti3Marino_mem_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
3091.835584	63.184983999999986	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
3091.835584	63.184983999999986	states									"   state_name
id           
0     state_0"
3091.835584	0.01598999999987427	states									"          state_name
id                  
1   sending_trialnum"
3091.851574	54.59249399999999	states									"      state_name
id              
3   wait_for_cin"
3146.444068	1.0005000000001019	states									"   state_name
id           
4     context"
3147.444568	0.0010099999999511056	states									"   state_name
id           
6       csgap"
3147.445578	1.0000020000002223	states									"   state_name
id           
11    stim_on"
3148.44558	0.001494000000093365	states									"   state_name
id           
12   stim_off"
3148.447074	1.5725049999996372	states									"        state_name
id                
13  wait_for_spoke"
3150.019579	5.000989000000118	states									"     state_name
id             
28  error_state"
3155.021068	81.53450900000007	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
3155.021068	81.53450900000007	states									"   state_name
id           
0     state_0"
3155.021068	0.016000000000076398	states									"          state_name
id                  
1   sending_trialnum"
3155.037068	70.21549999999979	states									"      state_name
id              
3   wait_for_cin"
3225.252568	1.0005000000001019	states									"   state_name
id           
4     context"
3226.253068	0.0010099999999511056	states									"   state_name
id           
6       csgap"
3226.254078	1.0004899999998997	states									"   state_name
id           
11    stim_on"
3227.254568	0.0010220000003755558	states									"   state_name
id           
12   stim_off"
3227.25559	4.298977999999806	states									"        state_name
id                
13  wait_for_spoke"
3231.554568	5.001009000000067	states									"     state_name
id             
28  error_state"
3236.556068	13.05450000000019	trials	1.0	2.0	1.0	0.0	0.0	1.0	r	p	
3236.556068	13.05450000000019	states									"   state_name
id           
0     state_0"
3236.556068	0.016000000000076398	states									"          state_name
id                  
1   sending_trialnum"
3236.572068	0.0005160000000614673	states									"      state_name
id              
3   wait_for_cin"
3236.572584	1.0004840000001423	states									"   state_name
id           
4     context"
3237.573068	0.0009999999997489795	states									"   state_name
id           
6       csgap"
3237.574068	1.0005000000001019	states									"   state_name
id           
11    stim_on"
3238.574568	0.0010090000000673172	states									"   state_name
id           
12   stim_off"
3238.575577	0.5099989999998797	states									"        state_name
id                
13  wait_for_spoke"
3239.085576	0.0004920000001220615	states									"             state_name
id                     
15  soff_reward_chooser"
3239.086068	0.06700000000000728	states									"         state_name
id                 
16  reward_big_soff"
3239.153068	1.475500000000011	states									"         state_name
id                 
23  post_reward_off"
3240.628568	5.981499999999869	states									"         state_name
id                 
24  soft_drink_time"
3246.610068	0.0005000000001018634	states									"    state_name
id            
25  warndanger"
3246.610568	3.0	states									"            state_name
id                    
26  warndanger_warning"
3249.611068	105.29549999999972	trials	1.0	2.0	1.0	0.0	0.0	1.0	r	p	
3249.611068	105.29549999999972	states									"   state_name
id           
0     state_0"
3249.611068	0.01599999999962165	states									"          state_name
id                  
1   sending_trialnum"
3249.627068	89.78900000000021	states									"      state_name
id              
3   wait_for_cin"
3339.416068	1.0	states									"   state_name
id           
4     context"
3340.416068	0.0010000000002037268	states									"   state_name
id           
6       csgap"
3340.417068	0.17699999999967986	states									"   state_name
id           
11    stim_on"
3340.594068	0.0005000000001018634	states									"            state_name
id                    
14  son_reward_chooser"
3340.594568	0.0670140000001993	states									"        state_name
id                
17  reward_big_son"
3340.661582	0.9334859999999026	states									"        state_name
id                
22  post_reward_on"
3341.595068	0.3095109999999295	states									"         state_name
id                 
23  post_reward_off"
3341.904579	10.000997999999981	states									"         state_name
id                 
24  soft_drink_time"
3351.905577	0.0004930000000058499	states									"    state_name
id            
25  warndanger"
3351.90607	3.0004979999998795	states									"            state_name
id                    
26  warndanger_warning"
3354.907074	116.39650699999993	trials	1.0	2.0	1.0	0.0	0.0	1.0	r	p	
3354.907074	116.39650699999993	states									"   state_name
id           
0     state_0"
3354.907074	0.015993999999864172	states									"          state_name
id                  
1   sending_trialnum"
3354.923068	101.15999999999985	states									"      state_name
id              
3   wait_for_cin"
3456.083068	1.0	states									"   state_name
id           
4     context"
3457.083068	0.0010000000002037268	states									"   state_name
id           
6       csgap"
3457.084068	0.12399999999979627	states									"   state_name
id           
11    stim_on"
3457.208068	0.0005000000001018634	states									"            state_name
id                    
14  son_reward_chooser"
3457.208568	0.06700899999987087	states									"        state_name
id                
17  reward_big_son"
3457.275577	0.933491000000231	states									"        state_name
id                
22  post_reward_on"
3458.209068	0.0929999999998472	states									"         state_name
id                 
23  post_reward_off"
3458.302068	10.001000000000204	states									"         state_name
id                 
24  soft_drink_time"
3468.303068	0.0005089999999654538	states									"    state_name
id            
25  warndanger"
3468.303577	3.00000399999999	states									"            state_name
id                    
26  warndanger_warning"
3471.304068	26.56151	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
3471.304068	26.56151	states									"   state_name
id           
0     state_0"
3471.304068	0.016000000000076398	states									"          state_name
id                  
1   sending_trialnum"
3471.320068	20.349509000000126	states									"      state_name
id              
3   wait_for_cin"
3491.669577	1.0004909999997835	states									"   state_name
id           
4     context"
3492.670068	0.00151400000004287	states									"   state_name
id           
6       csgap"
3492.671582	0.19298600000001898	states									"   state_name
id           
11    stim_on"
3492.864568	5.001009999999951	states									"     state_name
id             
28  error_state"
3497.866068	20.576500000000124	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
3497.866068	20.576500000000124	states									"   state_name
id           
0     state_0"
3497.866068	0.01600700000017241	states									"          state_name
id                  
1   sending_trialnum"
3497.882075	14.299993000000086	states									"      state_name
id              
3   wait_for_cin"
3512.182068	1.0000009999998838	states									"   state_name
id           
4     context"
3513.182069	0.0015109999999367574	states									"   state_name
id           
6       csgap"
3513.18358	0.25801000000001295	states									"   state_name
id           
11    stim_on"
3513.44159	5.000978000000032	states									"     state_name
id             
28  error_state"
3518.443068	25.168521000000055	trials	1.0	2.0	1.0	0.0	0.0	1.0	r	p	
3518.443068	25.168521000000055	states									"   state_name
id           
0     state_0"
3518.443068	0.016000000000076398	states									"          state_name
id                  
1   sending_trialnum"
3518.459068	9.144999999999982	states									"      state_name
id              
3   wait_for_cin"
3527.604068	1.0	states									"   state_name
id           
4     context"
3528.604068	0.0015079999998306448	states									"   state_name
id           
6       csgap"
3528.605576	0.09001299999999901	states									"   state_name
id           
11    stim_on"
3528.695589	0.00047900000026857015	states									"            state_name
id                    
14  son_reward_chooser"
3528.696068	0.06700000000000728	states									"        state_name
id                
17  reward_big_son"
3528.763068	0.9334999999996398	states									"        state_name
id                
22  post_reward_on"
3529.696568	0.9135000000001128	states									"         state_name
id                 
23  post_reward_off"
