onset	duration	nwb_table	ProAnti3_hit_history	ProAnti3_sides_history	ProAnti3_psych_history	ProAnti3_loc_history	ProAnti3_mem_history	ProAnti3_free_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
1342.819323	0.060500000000047294	states												"        state_name
id                
17  reward_big_son"
1342.879823	0.0004989999999907013	states												"        state_name
id                
22  post_reward_on"
1342.880322	0.7105090000000018	states												"         state_name
id                 
23  post_reward_off"
1343.590831	10.000991999999997	states												"         state_name
id                 
24  soft_drink_time"
1353.591823	0.0004989999999907013	states												"    state_name
id            
25  warndanger"
1353.592322	3.0005049999999756	states												"            state_name
id                    
26  warndanger_warning"
1356.593322	11.533016000000089	trials	1.0	l	1.0	p	1.0	r	0.0	0.0	1.0	l	p	
1356.593322	11.533016000000089	states												"   state_name
id           
0     state_0"
1356.593322	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
1356.609322	1.8895069999998668	states												"      state_name
id              
3   wait_for_cin"
1358.498829	0.0005090000001928274	states												"   state_name
id           
4     nicstim"
1358.499338	0.001496999999972104	states												"   state_name
id           
6       csgap"
1358.500835	0.4119989999999234	states												"        state_name
id                
13  wait_for_spoke"
1358.912834	0.0004880000001321605	states												"             state_name
id                     
15  soff_reward_chooser"
1358.913322	0.06050099999993108	states												"         state_name
id                 
16  reward_big_soff"
1358.973823	0.43749899999988884	states												"         state_name
id                 
23  post_reward_off"
1359.411322	5.714500000000044	states												"         state_name
id                 
24  soft_drink_time"
1365.125822	0.0005000000001018634	states												"    state_name
id            
25  warndanger"
1365.126322	3.0000159999999596	states												"            state_name
id                    
26  warndanger_warning"
1368.126835	9.381503000000066	trials	1.0	l	1.0	p	1.0	r	0.0	0.0	1.0	l	p	
1368.126835	9.381503000000066	states												"   state_name
id           
0     state_0"
1368.126835	0.015993999999864172	states												"          state_name
id                  
1   sending_trialnum"
1368.142829	0.2534930000001623	states												"      state_name
id              
3   wait_for_cin"
1368.396322	0.0005069999999705033	states												"   state_name
id           
4     nicstim"
1368.396829	0.001492999999982203	states												"   state_name
id           
6       csgap"
1368.398322	0.6610000000000582	states												"        state_name
id                
13  wait_for_spoke"
1369.059322	0.0004999999998744897	states												"             state_name
id                     
15  soff_reward_chooser"
1369.059822	0.060500000000047294	states												"         state_name
id                 
16  reward_big_soff"
1369.120322	0.6050000000000182	states												"         state_name
id                 
23  post_reward_off"
1369.725322	4.782506000000012	states												"         state_name
id                 
24  soft_drink_time"
1374.507828	0.0004939999998896383	states												"    state_name
id            
25  warndanger"
1374.508322	3.000016000000187	states												"            state_name
id                    
26  warndanger_warning"
1377.508844	12.633477999999968	trials	1.0	l	1.0	p	1.0	r	0.0	0.0	1.0	l	p	
1377.508844	12.633477999999968	states												"   state_name
id           
0     state_0"
1377.508844	0.015992000000096596	states												"          state_name
id                  
1   sending_trialnum"
1377.524836	0.9014869999998609	states												"      state_name
id              
3   wait_for_cin"
1378.426323	0.0005040000000917644	states												"   state_name
id           
4     nicstim"
1378.426827	0.0014949999999771535	states												"   state_name
id           
6       csgap"
1378.428322	0.4615000000001146	states												"        state_name
id                
13  wait_for_spoke"
1378.889822	0.0004999999998744897	states												"             state_name
id                     
15  soff_reward_chooser"
1378.890322	0.06050499999992098	states												"         state_name
id                 
16  reward_big_soff"
1378.950827	0.2900040000001809	states												"         state_name
id                 
23  post_reward_off"
1379.240831	7.9004909999998745	states												"         state_name
id                 
24  soft_drink_time"
1387.141322	0.0005000000001018634	states												"    state_name
id            
25  warndanger"
1387.141822	3.0004999999998745	states												"            state_name
id                    
26  warndanger_warning"
1390.142826	8.508004000000028	trials	1.0	l	1.0	p	1.0	r	0.0	0.0	1.0	l	p	
1390.142826	8.508004000000028	states												"   state_name
id           
0     state_0"
1390.142826	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
1390.158826	1.2994959999998628	states												"      state_name
id              
3   wait_for_cin"
1391.458322	0.0005049999999755528	states												"   state_name
id           
4     nicstim"
1391.458827	0.001500999999962005	states												"   state_name
id           
6       csgap"
1391.460328	0.449500000000171	states												"        state_name
id                
13  wait_for_spoke"
1391.909828	0.0004939999998896383	states												"             state_name
id                     
15  soff_reward_chooser"
1391.910322	0.060510000000022046	states												"         state_name
id                 
16  reward_big_soff"
1391.970832	0.2849900000001071	states												"         state_name
id                 
23  post_reward_off"
1392.255822	3.3940000000000055	states												"         state_name
id                 
24  soft_drink_time"
1395.649822	0.0005159999998340936	states												"    state_name
id            
25  warndanger"
1395.650338	3.000492000000122	states												"            state_name
id                    
26  warndanger_warning"
1398.651322	16.239504000000125	trials	1.0	l	1.0	p	1.0	r	0.0	0.0	1.0	l	p	
1398.651322	16.239504000000125	states												"   state_name
id           
0     state_0"
1398.651322	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
1398.667322	6.391000000000076	states												"      state_name
id              
3   wait_for_cin"
1405.058322	0.0005119999998441926	states												"   state_name
id           
4     nicstim"
1405.058834	0.0014880000001085136	states												"   state_name
id           
6       csgap"
1405.060322	0.35799999999994725	states												"        state_name
id                
13  wait_for_spoke"
1405.418322	0.0005109999999604042	states												"             state_name
id                     
15  soff_reward_chooser"
1405.418833	0.06048899999996138	states												"         state_name
id                 
16  reward_big_soff"
1405.479322	0.20100000000002183	states												"         state_name
id                 
23  post_reward_off"
1405.680322	6.209500000000162	states												"         state_name
id                 
24  soft_drink_time"
1411.889822	0.0005169999999452557	states												"    state_name
id            
25  warndanger"
1411.890339	3.000487000000021	states												"            state_name
id                    
26  warndanger_warning"
1414.891322	8.415507000000161	trials	1.0	l	1.0	p	1.0	r	0.0	0.0	1.0	l	p	
1414.891322	8.415507000000161	states												"   state_name
id           
0     state_0"
1414.891322	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
