onset	duration	nwb_table	crosstalk_dir	crosstalk_freq	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_side_history	HistorySection_task_history	HistorySection_incoh_history	HistorySection_gammadir_history	HistorySection_gammafreq_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_incoh_history_task	state_type
566.259229	0.003496000000041022	states																					"        state_name
id                
19  clean_up_state"
566.263225	4.106005999999979	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0		l	d	0.0	-4.0	0.0	3.0			
566.263225	4.106005999999979	states																					"   state_name
id           
0     state_0"
566.263225	0.01599999999996271	states																					"          state_name
id                  
1   sending_trialnum"
566.279225	0.000505999999973028	states																					"        state_name
id                
3   wait_for_cpoke"
566.279731	0.5004930000000058	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
566.780224	0.4455030000000306	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
567.225727	0.0014979999999695792	states																					"     state_name
id             
7   nic_prestim"
567.227225	0.0004999999999881766	states																					"   state_name
id           
8       cpoke"
567.227725	0.03700000000003456	states																					"   state_name
id           
9    cpoke_in"
567.264725	0.10050300000000334	states																					"   state_name
id           
10  cpoke_out"
567.365228	3.0004969999999958	states																					"         state_name
id                 
17  nic_error_state"
570.365725	0.0035060000000157743	states																					"        state_name
id                
19  clean_up_state"
570.369734	9.989497000000028	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0		l	d	0.0	-4.0	0.0	3.0			
570.369734	9.989497000000028	states																					"   state_name
id           
0     state_0"
570.369734	0.015992999999980384	states																					"          state_name
id                  
1   sending_trialnum"
570.385727	0.0004979999999932261	states																					"        state_name
id                
3   wait_for_cpoke"
570.386225	0.5004999999999882	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
570.886725	6.321011999999996	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
577.207737	0.0014879999999948268	states																					"     state_name
id             
7   nic_prestim"
577.209225	0.0005040000000917644	states																					"   state_name
id           
8       cpoke"
577.209729	0.0454979999999523	states																					"   state_name
id           
9    cpoke_in"
577.255227	0.10000900000000001	states																					"   state_name
id           
10  cpoke_out"
577.355236	3.0004900000000134	states																					"         state_name
id                 
17  nic_error_state"
580.355726	0.003505000000018299	states																					"        state_name
id                
19  clean_up_state"
580.359731	12.210994000000028	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0		l	d	0.0	-4.0	0.0	3.0	0.0	0.0	
580.359731	12.210994000000028	states																					"   state_name
id           
0     state_0"
580.359731	0.015996999999970285	states																					"          state_name
id                  
1   sending_trialnum"
580.375728	0.0004969999999957508	states																					"        state_name
id                
3   wait_for_cpoke"
580.376225	0.5004999999999882	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
580.876725	8.561001000000033	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
589.437726	0.0015090000000554937	states																					"     state_name
id             
7   nic_prestim"
589.439235	0.0004979999999932261	states																					"   state_name
id           
8       cpoke"
589.439733	0.02649199999996199	states																					"   state_name
id           
9    cpoke_in"
589.466225	0.10049900000001344	states																					"   state_name
id           
10  cpoke_out"
589.566724	3.0005009999999857	states																					"         state_name
id                 
17  nic_error_state"
592.567225	0.003500000000030923	states																					"        state_name
id                
19  clean_up_state"
592.571225	9.830500000000029	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0	0.0	l	d	0.0	-4.0	0.0	2.0			
