onset	duration	nwb_table	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_violation_history	HistorySection_hit_history_left	HistorySection_hit_history_right	HistorySection_side_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_hit_history_stage	state_type
2259.569815	3.229500000000371	states																		"   state_name
id           
0     state_0"
2259.569815	0.016000999999960186	states																		"          state_name
id                  
1   sending_trialnum"
2259.585816	0.000499000000218075	states																		"        state_name
id                
3   wait_for_cpoke"
2259.586315	0.0014999999998508429	states																		"     state_name
id             
4   nic_prestim"
2259.587815	0.2074999999999818	states																		"   state_name
id           
5       cpoke"
2259.795315	3.0005160000000615	states																		"         state_name
id                 
12  nic_error_state"
2262.795831	0.0034840000002986926	states																		"        state_name
id                
14  clean_up_state"
2262.799815	7.931500000000142	trials	5.0	2.0	1.0	1.0	0.5	-5.0	-2.0	6500.0	6500.0		1.0			l	3.0			
2262.799815	7.931500000000142	states																		"   state_name
id           
0     state_0"
2262.799815	0.016000000000076398	states																		"          state_name
id                  
1   sending_trialnum"
2262.815815	4.849999999999909	states																		"        state_name
id                
3   wait_for_cpoke"
2267.665815	0.0010050000000774162	states																		"     state_name
id             
4   nic_prestim"
2267.66682	0.060495000000173604	states																		"   state_name
id           
5       cpoke"
2267.727315	3.000500000000102	states																		"         state_name
id                 
12  nic_error_state"
2270.727815	0.003499999999803549	states																		"        state_name
id                
14  clean_up_state"
2270.731815	15.987499999999727	trials	5.0	2.0	1.0	1.0	0.5	-2.0	-2.0	6500.0	6500.0		1.0			l	3.0			
2270.731815	15.987499999999727	states																		"   state_name
id           
0     state_0"
2270.731815	0.016000000000076398	states																		"          state_name
id                  
1   sending_trialnum"
2270.747815	12.435005999999703	states																		"        state_name
id                
3   wait_for_cpoke"
2283.182821	0.001494000000093365	states																		"     state_name
id             
4   nic_prestim"
2283.184315	0.5309999999999491	states																		"   state_name
id           
5       cpoke"
2283.715315	3.000500000000102	states																		"         state_name
id                 
12  nic_error_state"
2286.715815	0.003499999999803549	states																		"        state_name
id                
14  clean_up_state"
2286.719815	6.409004000000095	trials	5.0	2.0	1.0	1.0	0.5	2.0	2.0	6500.0	6500.0		1.0			r	3.0			
2286.719815	6.409004000000095	states																		"   state_name
id           
0     state_0"
2286.719815	0.016000000000076398	states																		"          state_name
id                  
1   sending_trialnum"
2286.735815	3.36850000000004	states																		"        state_name
id                
3   wait_for_cpoke"
2290.104315	0.0009999999997489795	states																		"     state_name
id             
4   nic_prestim"
2290.105315	0.019505000000208383	states																		"   state_name
id           
5       cpoke"
2290.12482	3.0004949999997734	states																		"         state_name
id                 
12  nic_error_state"
2293.125315	0.0035040000002481975	states																		"        state_name
id                
14  clean_up_state"
2293.129315	3.549004999999852	trials	5.0	2.0	1.0	1.0	0.5	5.0	-2.0	6500.0	6500.0		1.0			r	3.0			
2293.129315	3.549004999999852	states																		"   state_name
id           
0     state_0"
2293.129315	0.016014999999697466	states																		"          state_name
id                  
1   sending_trialnum"
2293.14533	0.000495000000228174	states																		"        state_name
id                
3   wait_for_cpoke"
2293.145825	0.0014900000001034641	states																		"     state_name
id             
4   nic_prestim"
2293.147315	0.5270049999999173	states																		"   state_name
id           
5       cpoke"
2293.67432	3.0004969999999958	states																		"         state_name
id                 
12  nic_error_state"
2296.674817	0.0035029999999096617	states																		"        state_name
id                
14  clean_up_state"
2296.67882	4.346509999999853	trials	5.0	2.0	1.0	1.0	0.5	5.0	-1.0	6500.0	6500.0		1.0			r	3.0			
2296.67882	4.346509999999853	states																		"   state_name
id           
0     state_0"
2296.67882	0.016008999999939988	states																		"          state_name
id                  
1   sending_trialnum"
2296.694829	0.8579949999998462	states																		"        state_name
id                
3   wait_for_cpoke"
2297.552824	0.0014970000001994777	states																		"     state_name
id             
4   nic_prestim"
2297.554321	0.466993999999886	states																		"   state_name
id           
5       cpoke"
2298.021315	3.000500000000102	states																		"         state_name
id                 
12  nic_error_state"
2301.021815	0.0035149999998793646	states																		"        state_name
id                
14  clean_up_state"
2301.025824	14.294996999999967	trials	5.0	2.0	1.0	1.0	0.5	2.0	2.0	6500.0	6500.0		1.0			r	3.0			
2301.025824	14.294996999999967	states																		"   state_name
id           
0     state_0"
2301.025824	0.015996000000086497	states																		"          state_name
id                  
1   sending_trialnum"
2301.04182	11.246494999999868	states																		"        state_name
id                
3   wait_for_cpoke"
2312.288315	0.0010000000002037268	states																		"     state_name
id             
4   nic_prestim"
2312.289315	0.027519000000211236	states																		"   state_name
id           
5       cpoke"
2312.316834	3.0004809999995814	states																		"         state_name
id                 
12  nic_error_state"
2315.317315	0.0035060000000157743	states																		"        state_name
id                
14  clean_up_state"
2315.321315	7.004999999999654	trials	5.0	2.0	1.0	1.0	0.5	5.0	2.0	6500.0	6500.0		1.0			r	3.0			
2315.321315	7.004999999999654	states																		"   state_name
id           
0     state_0"
2315.321315	0.016000000000076398	states																		"          state_name
id                  
1   sending_trialnum"
2315.337315	3.863999999999578	states																		"        state_name
id                
3   wait_for_cpoke"
2319.201315	0.0010150000002795423	states																		"     state_name
id             
4   nic_prestim"
2319.20233	0.11998499999981505	states																		"   state_name
id           
5       cpoke"
2319.322315	3.000503000000208	states																		"         state_name
id                 
12  nic_error_state"
2322.322818	0.0034969999996974366	states																		"        state_name
id                
14  clean_up_state"
2322.326824	3.413506999999754	trials	5.0	2.0	1.0	1.0	0.5	2.0	-1.0	6500.0	6500.0		1.0			r	3.0			
2322.326824	3.413506999999754	states																		"   state_name
id           
0     state_0"
2322.326824	0.015996999999970285	states																		"          state_name
id                  
1   sending_trialnum"
2322.342821	0.0004939999998896383	states																		"        state_name
id                
3   wait_for_cpoke"
2322.343315	0.0015089999997144332	states																		"     state_name
id             
4   nic_prestim"
2322.344824	0.3915060000003905	states																		"   state_name
id           
5       cpoke"
2322.73633	3.0004919999996673	states																		"         state_name
id                 
12  nic_error_state"
2325.736822	0.003509000000121887	states																		"        state_name
id                
14  clean_up_state"
