onset	duration	nwb_table	crosstalk_dir	crosstalk_freq	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_side_history	HistorySection_quadrant_history	HistorySection_task_history	HistorySection_incoh_history	HistorySection_gammadir_history	HistorySection_gammafreq_history	HistorySection_result_history	state_type
302.342121	0.08849999999995362	states																				"                state_name
id                        
2   check_next_trial_ready"
302.431121	9.284506999999962	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	-1.0	-1.0	6500.0	14200.0		l	2.0	d	0.0	-1.0	-1.0	3.0	
302.431121	9.284506999999962	states																				"   state_name
id           
0     state_0"
302.431121	0.01599999999996271	states																				"          state_name
id                  
1   sending_trialnum"
302.447121	0.0005120000000147229	states																				"        state_name
id                
3   wait_for_cpoke"
302.447633	0.5004880000000185	states																				"            state_name
id                    
4   wait_for_cpoke_dir"
302.948121	4.404999999999973	states																				"            state_name
id                    
6   wait_for_cpoke_bis"
307.353121	0.0015000000000213731	states																				"     state_name
id             
7   nic_prestim"
307.354621	0.0004999999999881766	states																				"   state_name
id           
8       cpoke"
307.355121	0.40399999999999636	states																				"   state_name
id           
9    cpoke_in"
307.759121	0.022503000000028806	states																				"   state_name
id           
10  cpoke_out"
307.781624	0.3149970000000053	states																				"   state_name
id           
9    cpoke_in"
308.096621	0.08799999999996544	states																				"   state_name
id           
10  cpoke_out"
308.184621	0.4259999999999877	states																				"   state_name
id           
9    cpoke_in"
308.610621	0.10050000000001091	states																				"   state_name
id           
10  cpoke_out"
308.711121	0.0005070000000273467	states																				"         state_name
id                 
17  nic_error_state"
308.711628	3.000493000000006	states																				"          state_name
id                  
18  nic_error_state2"
311.712121	0.003506999999956406	states																				"        state_name
id                
20  clean_up_state"
311.716121	8.913001000000008	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	-4.0	1.0	6500.0	14200.0		l	3.0	d	1.0	-4.0	1.0	3.0	
311.716121	8.913001000000008	states																				"   state_name
id           
0     state_0"
311.716121	0.016000000000019554	states																				"          state_name
id                  
1   sending_trialnum"
311.732121	0.0004999999999881766	states																				"        state_name
id                
3   wait_for_cpoke"
311.732621	0.5004999999999882	states																				"            state_name
id                    
4   wait_for_cpoke_dir"
312.233121	4.6854999999999905	states																				"            state_name
id                    
6   wait_for_cpoke_bis"
316.918621	0.001002000000028147	states																				"     state_name
id             
7   nic_prestim"
316.919623	0.0004979999999932261	states																				"   state_name
id           
8       cpoke"
316.920121	0.60450000000003	states																				"   state_name
id           
9    cpoke_in"
317.524621	0.0999999999999659	states																				"   state_name
id           
10  cpoke_out"
317.624621	0.0004999999999881766	states																				"         state_name
id                 
17  nic_error_state"
317.625121	3.000500000000045	states																				"          state_name
id                  
18  nic_error_state2"
320.625621	0.0035009999999715546	states																				"        state_name
id                
20  clean_up_state"
320.629628	5.448492999999985	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	1.0	-2.5	6500.0	14200.0		r	1.0	d	1.0	1.0	-2.5	3.0	
320.629628	5.448492999999985	states																				"   state_name
id           
0     state_0"
320.629628	0.01599799999996776	states																				"          state_name
id                  
1   sending_trialnum"
320.645626	0.0004950000000008004	states																				"        state_name
id                
3   wait_for_cpoke"
320.646121	0.5004999999999882	states																				"            state_name
id                    
4   wait_for_cpoke_dir"
321.146621	0.5440000000000396	states																				"            state_name
id                    
6   wait_for_cpoke_bis"
321.690621	0.0010169999999902757	states																				"     state_name
id             
7   nic_prestim"
321.691638	0.000482999999974254	states																				"   state_name
id           
8       cpoke"
321.692121	0.625	states																				"   state_name
id           
9    cpoke_in"
322.317121	0.08450900000002548	states																				"   state_name
id           
10  cpoke_out"
322.40163	0.5714909999999804	states																				"   state_name
id           
9    cpoke_in"
322.973121	0.10050599999999577	states																				"   state_name
id           
10  cpoke_out"
323.073627	0.0004940000000033251	states																				"         state_name
id                 
17  nic_error_state"
323.074121	3.000499999999988	states																				"          state_name
id                  
18  nic_error_state2"
326.074621	0.003500000000030923	states																				"        state_name
id                
20  clean_up_state"
326.078621	19.151999999999987	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	-1.0	4.0	6500.0	14200.0	0.0	l	3.0	d	1.0	-1.0	4.0	2.0	
326.078621	19.151999999999987	states																				"   state_name
id           
0     state_0"
326.078621	0.016000000000019554	states																				"          state_name
id                  
1   sending_trialnum"
326.094621	0.0004999999999881766	states																				"        state_name
id                
3   wait_for_cpoke"
326.095121	0.5005029999999806	states																				"            state_name
id                    
4   wait_for_cpoke_dir"
326.595624	10.780003000000022	states																				"            state_name
id                    
6   wait_for_cpoke_bis"
337.375627	0.0014939999999796783	states																				"     state_name
id             
7   nic_prestim"
337.377121	0.0004999999999881766	states																				"   state_name
id           
8       cpoke"
337.377621	0.5049999999999955	states																				"   state_name
id           
9    cpoke_in"
337.882621	0.0625	states																				"   state_name
id           
10  cpoke_out"
337.945121	0.73250900000005	states																				"   state_name
id           
9    cpoke_in"
338.67763	0.08799799999997049	states																				"   state_name
id           
10  cpoke_out"
338.765628	0.011493000000029951	states																				"   state_name
id           
9    cpoke_in"
338.777121	0.1490000000000009	states																				"       state_name
id               
11  wait_for_cout"
338.926121	0.5389999999999873	states																				"        state_name
id                
12  wait_for_spoke"
339.465121	5.7620000000000005	states																				"     state_name
id             
15  error_state"
345.227121	0.0034999999999740794	states																				"        state_name
id                
20  clean_up_state"
345.231121	5.811500000000024	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	4.0	-2.5	6500.0	14200.0		r	1.0	d	1.0	4.0	-2.5	3.0	
345.231121	5.811500000000024	states																				"   state_name
id           
0     state_0"
345.231121	0.016000000000019554	states																				"          state_name
id                  
1   sending_trialnum"
345.247121	0.0005029999999806023	states																				"        state_name
id                
3   wait_for_cpoke"
345.247624	0.5000070000000392	states																				"            state_name
id                    
4   wait_for_cpoke_dir"
345.747631	1.6609899999999698	states																				"            state_name
id                    
6   wait_for_cpoke_bis"
347.408621	0.0010030000000256223	states																				"     state_name
id             
7   nic_prestim"
347.409624	0.0004969999999957508	states																				"   state_name
id           
8       cpoke"
347.410121	0.166499999999985	states																				"   state_name
id           
9    cpoke_in"
347.576621	0.04149999999998499	states																				"   state_name
id           
10  cpoke_out"
347.618121	0.32000000000005	states																				"   state_name
id           
9    cpoke_in"
347.938121	0.0999999999999659	states																				"   state_name
id           
10  cpoke_out"
348.038121	0.0004999999999881766	states																				"         state_name
id                 
17  nic_error_state"
348.038621	3.000500000000045	states																				"          state_name
id                  
18  nic_error_state2"
351.039121	0.0034999999999740794	states																				"        state_name
id                
20  clean_up_state"
351.043121	15.336999999999989	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	2.5	-2.5	6500.0	14200.0		r	1.0	d	1.0	2.5	-2.5	3.0	
351.043121	15.336999999999989	states																				"   state_name
id           
0     state_0"
351.043121	0.016000000000019554	states																				"          state_name
id                  
1   sending_trialnum"
351.059121	0.0005100000000197724	states																				"        state_name
id                
3   wait_for_cpoke"
351.059631	0.5004899999999566	states																				"            state_name
id                    
4   wait_for_cpoke_dir"
351.560121	10.51600000000002	states																				"            state_name
id                    
6   wait_for_cpoke_bis"
362.076121	0.0015030000000137989	states																				"     state_name
id             
7   nic_prestim"
362.077624	0.0004969999999957508	states																				"   state_name
id           
8       cpoke"
362.078121	0.4549999999999841	states																				"   state_name
id           
9    cpoke_in"
362.533121	0.09500000000002728	states																				"   state_name
id           
10  cpoke_out"
362.628121	0.3135019999999713	states																				"   state_name
id           
9    cpoke_in"
362.941623	0.06649800000002415	states																				"   state_name
id           
10  cpoke_out"
363.008121	0.2675029999999765	states																				"   state_name
id           
9    cpoke_in"
363.275624	0.10000300000001516	states																				"   state_name
id           
10  cpoke_out"
363.375627	0.0004940000000033251	states																				"         state_name
id                 
17  nic_error_state"
363.376121	3.000499999999988	states																				"          state_name
id                  
18  nic_error_state2"
366.376621	0.0034999999999740794	states																				"        state_name
id                
20  clean_up_state"
366.380621	5.365499999999997	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	1.0	-4.0	6500.0	14200.0	1.0	r	1.0	d	1.0	1.0	-4.0	1.0	
366.380621	5.365499999999997	states																				"   state_name
id           
0     state_0"
366.380621	0.01599999999996271	states																				"          state_name
id                  
1   sending_trialnum"
366.396621	0.00050000000004502	states																				"        state_name
id                
3   wait_for_cpoke"
366.397121	0.5005069999999705	states																				"            state_name
id                    
4   wait_for_cpoke_dir"
366.897628	2.0759949999999776	states																				"            state_name
id                    
6   wait_for_cpoke_bis"
368.973623	0.0014980000000264226	states																				"     state_name
id             
7   nic_prestim"
368.975121	0.000505999999973028	states																				"   state_name
id           
8       cpoke"
368.975627	0.34099400000002333	states																				"   state_name
id           
9    cpoke_in"
369.316621	0.04200000000003001	states																				"   state_name
id           
10  cpoke_out"
369.358621	0.21200099999998656	states																				"   state_name
id           
9    cpoke_in"
369.570622	0.06549899999998843	states																				"   state_name
id           
10  cpoke_out"
369.636121	0.24049999999999727	states																				"   state_name
id           
9    cpoke_in"
