onset	duration	nwb_table	crosstalk_dir	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_violation_history	HistorySection_hit_history_left	HistorySection_hit_history_right	HistorySection_side_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_hit_history_stage	state_type
1636.955528	1.00047799999993	states																			"   state_name
id           
5       cpoke"
1637.956006	0.26950700000020333	states																			"       state_name
id               
6   wait_for_cout"
1638.225513	0.29849300000000767	states																			"        state_name
id                
7   wait_for_spoke"
1638.524006	0.0004999999998744897	states																			"   state_name
id           
8   hit_state"
1638.524506	0.21550000000002	states																			"    state_name
id            
9   hit_state2"
1638.740006	0.0035139999999955762	states																			"        state_name
id                
14  clean_up_state"
1638.74352	0.7644860000000335	states																			"                state_name
id                        
2   check_next_trial_ready"
1639.508506	6.36200000000008	trials	0.0	5.0	2.0	1.0	1.0	0.15	-5.0	0.0	6500.0	14200.0	1.0	0.0	1.0		l	1.0	1.0	1.0	
1639.508506	6.36200000000008	states																			"   state_name
id           
0     state_0"
1639.508506	0.01601000000005115	states																			"          state_name
id                  
1   sending_trialnum"
1639.524516	3.2574899999999616	states																			"        state_name
id                
3   wait_for_cpoke"
1642.782006	0.10000000000013642	states																			"     state_name
id             
4   nic_prestim"
1642.882006	1.0004999999998745	states																			"   state_name
id           
5       cpoke"
1643.882506	0.3285000000000764	states																			"       state_name
id               
6   wait_for_cout"
1644.211006	0.6875059999999849	states																			"        state_name
id                
7   wait_for_spoke"
1644.898512	0.0005100000000766158	states																			"   state_name
id           
8   hit_state"
1644.899022	0.2074840000000222	states																			"    state_name
id            
9   hit_state2"
1645.106506	0.003500000000030923	states																			"        state_name
id                
14  clean_up_state"
1645.110006	0.7604999999998654	states																			"                state_name
id                        
2   check_next_trial_ready"
1645.871006	5.666999999999916	trials	0.0	5.0	2.0	1.0	1.0	0.15	-5.0	0.0	6500.0	14200.0	1.0	0.0	1.0		l	1.0			
1645.871006	5.666999999999916	states																			"   state_name
id           
0     state_0"
1645.871006	0.015999999999849024	states																			"          state_name
id                  
1   sending_trialnum"
1645.887006	2.936000000000149	states																			"        state_name
id                
3   wait_for_cpoke"
1648.823006	0.10050400000000081	states																			"     state_name
id             
4   nic_prestim"
1648.92351	1.0000029999998787	states																			"   state_name
id           
5       cpoke"
1649.923513	0.248993000000155	states																			"       state_name
id               
6   wait_for_cout"
1650.172506	0.575019999999995	states																			"        state_name
id                
7   wait_for_spoke"
1650.747526	0.0004799999999249849	states																			"   state_name
id           
8   hit_state"
1650.748006	0.20049999999991996	states																			"    state_name
id            
9   hit_state2"
1650.948506	0.003500000000030923	states																			"        state_name
id                
14  clean_up_state"
1650.952006	0.5860000000000127	states																			"                state_name
id                        
2   check_next_trial_ready"
1651.538506	7.1190070000000105	trials	0.0	5.0	2.0	1.0	1.0	0.15	5.0	0.0	6500.0	14200.0		1.0			r	3.0			
1651.538506	7.1190070000000105	states																			"   state_name
id           
0     state_0"
1651.538506	0.016006999999945037	states																			"          state_name
id                  
1   sending_trialnum"
1651.554513	3.0270100000000184	states																			"        state_name
id                
3   wait_for_cpoke"
1654.581523	0.10048299999994015	states																			"     state_name
id             
4   nic_prestim"
1654.682006	0.9715189999999438	states																			"   state_name
id           
5       cpoke"
1655.653525	3.000481000000036	states																			"         state_name
id                 
12  nic_error_state"
1658.654006	0.0035070000001269364	states																			"        state_name
id                
14  clean_up_state"
